event_id,order_id,event_date,created_at,event_time,customer_id,buyer_email,buyer_phone,currency,total_amount,total_amount_ngn,state,city,country,vendor,event_type
c6ada6bdd20277907518d23a443c11066703883fafb9babc247458e974cab964,ORD-000001,2023-10-10T22:31:55Z,{'$date': '2026-02-17T00:16:32.832Z'},{'$date': '2026-02-17T00:16:32.832Z'},,user677@pulse.africa,+2348026726926,NGN,57700.0,57700.0,Kano,Kano,NG,unknown,historical_order
65b1c7e3c3754692fa53e6d26b583ca82a60cbe0875e9a160160c81e0df0b1cc,ORD-000002,2023-05-07T16:14:42Z,{'$date': '2026-02-17T00:16:32.860Z'},{'$date': '2026-02-17T00:16:32.860Z'},CUST-00562,user623@pulse.africa,+2348087844239,NGN,102300.0,102300.0,Kaduna,Kaduna,NG,unknown,historical_order
1ae4b6a558f47b7b48177e8eb95a367e09495f800230c6795f481408d06d201f,ORD-000007,2023-11-28T10:42:41Z,{'$date': '2026-02-17T00:16:32.876Z'},{'$date': '2026-02-17T00:16:32.876Z'},CUST-00607,user56@example.com,+2348028213276,USD,63.79,55305.93,Kaduna,Kaduna,NG,unknown,historical_order
51f122c636a2e5268ff6ee7c164f8567f2843e2ed0efc9c34f3fbcf208af2d1c,ORD-000015,2023-12-01T15:50:24Z,{'$date': '2026-02-17T00:16:32.888Z'},{'$date': '2026-02-17T00:16:32.888Z'},CUST-00703,,,NGN,13000.0,13000.0,Kaduna,Kaduna,NG,unknown,historical_order
3d4610728784ae46599b1b1de4fc4d3a075363b429e3a2ea3cf2a3b2a61df4cd,ORD-000027,2023-12-16T23:52:50Z,{'$date': '2026-02-17T00:16:32.905Z'},{'$date': '2026-02-17T00:16:32.905Z'},CUST-00589,user1433@pulse.africa,,NGN,80400.0,80400.0,Kano,Kano,NG,unknown,historical_order
03cdad8968516d19db83b33c9a0b2a9e8cd1c8d9db96af013f097d5eb9b3ff5e,ORD-000038,2023-12-24T21:21:08Z,{'$date': '2026-02-17T00:16:32.915Z'},{'$date': '2026-02-17T00:16:32.915Z'},CUST-00386,user699@mail.com,+2348053537934,NGN,22200.0,22200.0,Kano,Kano,NG,unknown,historical_order
2e3b34c79e3488857c653523a29eae0411584a09c6076e438519b2ba13e691f1,ORD-000045,2023-12-23T11:47:27Z,{'$date': '2026-02-17T00:16:32.922Z'},{'$date': '2026-02-17T00:16:32.922Z'},CUST-00673,user1235@mail.com,+2348088213973,NGN,87000.0,87000.0,Kano,Kano,NG,unknown,historical_order
70ab9d000f4003f2f6396c47bd20cc2682233c14d956d36e46d096eb15113dd4,ORD-000051,2023-09-28T07:51:40Z,{'$date': '2026-02-17T00:16:32.928Z'},{'$date': '2026-02-17T00:16:32.928Z'},,user1276@shop.ng,,NGN,37900.0,37900.0,Abuja,Abuja,NG,unknown,historical_order
dd09349b0c52d6426fdddd49eb429a523d53673d28f05638a8c0f0966fef29dc,ORD-000053,2023-01-17T21:46:12Z,{'$date': '2026-02-17T00:16:32.930Z'},{'$date': '2026-02-17T00:16:32.930Z'},CUST-00341,user722@pulse.africa,+2348033500064,NGN,44000.0,44000.0,Kaduna,Kaduna,NG,unknown,historical_order
bd136e1b7d500299471f99a090d52bccd912c3056e38881ccc6144581e18ec2b,ORD-000064,2023-05-30T04:32:09Z,{'$date': '2026-02-17T00:16:32.942Z'},{'$date': '2026-02-17T00:16:32.942Z'},,user1036@shop.ng,+2348038876195,USD,79.32,79.32,PH,PH,NG,unknown,historical_order
80364ebac63c88baf3894a9b64c40fbd99f03b0ce5167a0230fb5b4b58c11cca,ORD-000067,2023-02-27T20:13:39Z,{'$date': '2026-02-17T00:16:32.945Z'},{'$date': '2026-02-17T00:16:32.945Z'},,user631@example.com,+2348045638891,NGN,86000.0,86000.0,PH,PH,NG,unknown,historical_order
daea239d04bfe6d9cee5cbddc3d7a3277787b9bbb4ede61ecf88ec9051331af2,ORD-000072,2023-07-05T10:08:33Z,{'$date': '2026-02-17T00:16:32.950Z'},{'$date': '2026-02-17T00:16:32.950Z'},CUST-00181,user75@shop.ng,+2348035006323,USD,41.05,38340.7,Abuja,Abuja,NG,unknown,historical_order
c929897ff4c48dc51246266a0f1da9ebc34b76551e9713a4d3697cc1f244c9ea,ORD-000083,2023-03-20T23:14:08Z,{'$date': '2026-02-17T00:16:32.962Z'},{'$date': '2026-02-17T00:16:32.962Z'},CUST-00053,user1380@example.com,+2348035254849,NGN,36000.0,36000.0,Kano,Kano,NG,unknown,historical_order
66a02e1e4c48f9948f6dd758c586198f566025caee3d1a0c6e6353ddd1d6cab8,ORD-000096,2023-05-10T00:29:19Z,{'$date': '2026-02-17T00:16:32.979Z'},{'$date': '2026-02-17T00:16:32.979Z'},,user1006@mail.com,+2348047621248,USD,99.03,85859.01,PH,PH,NG,unknown,historical_order
643364f37bd7febdf20722064b436b56306bef3f30fb91af0ce89e0065f6bb58,ORD-000104,2023-04-23T04:08:06Z,{'$date': '2026-02-17T00:16:33.075Z'},{'$date': '2026-02-17T00:16:33.075Z'},CUST-00576,user1014@shop.ng,+2348065784972,NGN,13000.0,13000.0,Abuja,Abuja,NG,unknown,historical_order
9cfce3311ddb82cb92a117cda9c22b5b1c93fe39836a4d1f3d673c08704351a9,ORD-000108,2023-12-23T19:32:42Z,{'$date': '2026-02-17T00:16:33.078Z'},{'$date': '2026-02-17T00:16:33.078Z'},CUST-00276,user769@shop.ng,,NGN,47700.0,47700.0,Lagos,Lagos,NG,unknown,historical_order
0d2ecb29e967b7218cb06a89b3d1fb54df318fc8987cb6f67ec79b017c218792,ORD-000113,2023-10-28T09:10:27Z,{'$date': '2026-02-17T00:16:33.083Z'},{'$date': '2026-02-17T00:16:33.083Z'},CUST-00644,user844@shop.ng,+2348021635070,NGN,44100.0,44100.0,Abuja,Abuja,NG,unknown,historical_order
92891ad3ad8b421a43960a14bdd1f88f86d9132e856daadc119397d9b1ba38a8,ORD-000114,2023-05-17T12:32:58Z,{'$date': '2026-02-17T00:16:33.084Z'},{'$date': '2026-02-17T00:16:33.084Z'},CUST-00675,user421@mail.com,+2348049666982,NGN,92700.0,92700.0,Kaduna,Kaduna,NG,unknown,historical_order
f6250c00e28f345e9c91f40aff14ef12cfc3b635c5de2176d22692d89b1651e2,ORD-000116,2023-09-30T13:20:57Z,{'$date': '2026-02-17T00:16:33.085Z'},{'$date': '2026-02-17T00:16:33.085Z'},CUST-00524,user319@pulse.africa,+2348095133532,NGN,27600.0,27600.0,Kaduna,Kaduna,NG,unknown,historical_order
c8ed8bc722ed884b5eaf30b30e5c04179ceb50e510f1906dc32ab29f00dfa900,ORD-000117,2023-10-11T11:42:18Z,{'$date': '2026-02-17T00:16:33.086Z'},{'$date': '2026-02-17T00:16:33.086Z'},CUST-00057,user1348@mail.com,,NGN,19000.0,19000.0,Abuja,Abuja,NG,unknown,historical_order
fd142f3bac07a1353202d9a7fe76e82ff683f502146e7dc690b3605c5a509192,ORD-000118,2023-07-23T02:45:47Z,{'$date': '2026-02-17T00:16:33.086Z'},{'$date': '2026-02-17T00:16:33.086Z'},,,+2348087396877,NGN,31900.0,31900.0,PH,PH,NG,unknown,historical_order
2c830827f48da5189ba6e8a7a11b50d76584e094a052a4833161a63f6e404d63,ORD-000121,2023-12-03T08:00:19Z,{'$date': '2026-02-17T00:16:33.088Z'},{'$date': '2026-02-17T00:16:33.088Z'},,user1011@mail.com,+2348083357939,NGN,30400.0,30400.0,Kano,Kano,NG,unknown,historical_order
a6291b3ecb493c6744e7cce9d8de879f17e991ec38a1c5fdcc143d858409343c,ORD-000129,2023-05-31T19:58:33Z,{'$date': '2026-02-17T00:16:33.094Z'},{'$date': '2026-02-17T00:16:33.094Z'},CUST-00367,user477@mail.com,,NGN,16400.0,16400.0,Kano,Kano,NG,unknown,historical_order
2995aba9ec758e6575676aa30b50ffb077d8874b66825e1766971f3333011fb7,ORD-000143,2023-01-08T20:35:03Z,{'$date': '2026-02-17T00:16:33.105Z'},{'$date': '2026-02-17T00:16:33.105Z'},CUST-00329,user854@example.com,+2348038372352,USD,87.75,83274.75,Kano,Kano,NG,unknown,historical_order
89d81f44ebbefc18f689d468b07183cf6796f5630bec8ae39d4d4a6db00fbb6e,ORD-000164,2023-11-17T05:24:05Z,{'$date': '2026-02-17T00:16:33.121Z'},{'$date': '2026-02-17T00:16:33.121Z'},CUST-00138,user9@example.com,+2348068090825,NGN,34500.0,34500.0,Abuja,Abuja,NG,unknown,historical_order
02ebbe4b75738fbba82707d32d45b85e3eed6c67419868860e0dd594a7497f77,ORD-000174,2023-06-18T04:05:09Z,{'$date': '2026-02-17T00:16:33.129Z'},{'$date': '2026-02-17T00:16:33.129Z'},CUST-00634,,+2348016109168,NGN,7500.0,7500.0,Kano,Kano,NG,unknown,historical_order
